PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_59_DateBlockException_Exception_Resolution,30-07-2018,"To resolve this exception, create an IR and have it accepted and approved by the assigned resolver and approver respectively."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Exception_Definition_Title,30-07-2018,Definition
0.GEP.Cumulus.P2P.Resources.en-US,P2P_Exception_Resolution_Title,30-07-2018,Resolution
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Resolver,30-07-2018,Resolver
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Requester,30-07-2018,Requester
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_HideFilters,30-07-2018,Hide Filters
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_ShowFilters,30-07-2018,Show Filters
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_SHOW_HIDE_OPTIONAL_FIELDS,30-07-2018,Show / Hide Attributes
0.GEP.Cumulus.P2P.Resources.en-US,COMMENT_UNSAVED_DOC,6/11/2018,You should save the document before adding notes or attachment.,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_SeqNumber,8/3/2018,SEQ
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_CostElement,8/3/2018,Cost Element
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_CostGroup,8/3/2018,Cost Group
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_CostSource,8/3/2018,Cost Source
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_IndexName,8/3/2018,Index Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_UOM,8/3/2018,UOM
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_Value,8/3/2018,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_Currency,8/3/2018,Currency
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_AD_Formula,8/3/2018,Formula
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ACT_Cancel,6/11/2018,Cancel
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ACT_Done,6/11/2018,Done
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_BasicDetails,6/11/2018,Should Cost Details
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_closeBtn,6/11/2018,Close
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_SupplierServiceConfirmationNumber,6/11/2018,Supplier Service Confirmation Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_SC_Description,6/11/2018,Description
